speaker,seconds,rec.date,prompt,label,TT.displacement.sm,TT.velocity,TT.velocity.abs,TD.displacement.sm,TD.velocity,TD.velocity.abs,fan,X,Y,word,language,item,ipa,c1,c1phonation,vowel,anteropost,height,c2,c2phonation,c2place
it01,1.2105,29/11/2016 15:22:01,Dico paca lentamente,max_TD,67.9426,35.7285,35.7151,83.7263,-4.6597,2.5196,7,31.9331,0.8678,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.0715,29/11/2016 15:24:22,Dico pata lentamente,max_TT,78.5961,-6.8035,3.9654,67.3833,-33.7334,34.8797,7,34.7897,11.6307,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.1095,29/11/2016 15:24:42,Dico paca lentamente,max_TD,68.2631,29.1786,29.3236,82.6025,-5.352,3.2482,7,32.0652,1.3654,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.2045,29/11/2016 15:11:03,Dico pata lentamente,max_TT,77.9391,-7.7305,5.1003,67.281,-34.3418,35.223,8,31.4432,11.1305,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.0835,29/11/2016 15:11:25,Dico paca lentamente,max_TD,65.8686,21.08,20.8683,81.7577,-4.0665,2.2316,8,28.3838,-2.569,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.1745,29/11/2016 15:13:49,Dico pata lentamente,max_TT,77.9577,-7.3128,4.3659,69.2532,-3.3684,4.3468,8,31.5473,11.5968,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.2835,29/11/2016 15:14:11,Dico paca lentamente,max_TD,67.0699,34.4543,33.3519,81.3661,-5.2757,3.4809,8,28.6846,-1.2221,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.2945,29/11/2016 15:16:15,Dico pata lentamente,max_TT,77.8632,-4.734,2.4014,68.6802,9.2411,7.6962,8,31.4078,10.9721,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.1045,29/11/2016 15:16:36,Dico paca lentamente,max_TD,67.1171,22.9836,23.1647,81.9585,-4.8828,3.1528,8,29.1503,0.8634,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.1225,29/11/2016 15:18:54,Dico pata lentamente,max_TT,78.7698,-7.0038,4.0302,67.9828,-12.6667,13.8359,8,31.6882,12.2278,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.0875,29/11/2016 15:19:14,Dico paca lentamente,max_TD,58.1306,65.9409,61.9011,82.7516,-6.2675,3.933,8,26.3511,-11.6714,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.1585,29/11/2016 15:21:40,Dico pata lentamente,max_TT,79.8589,-7.1316,4.2572,67.678,-18.8446,19.6819,8,31.9398,13.3544,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.2105,29/11/2016 15:22:01,Dico paca lentamente,max_TD,67.9426,35.7285,35.7151,83.7263,-4.6597,2.5196,8,29.0811,0.5535,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.0715,29/11/2016 15:24:22,Dico pata lentamente,max_TT,78.5961,-6.8035,3.9654,67.3833,-33.7334,34.8797,8,31.6576,12.0907,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.1095,29/11/2016 15:24:42,Dico paca lentamente,max_TD,68.2631,29.1786,29.3236,82.6025,-5.352,3.2482,8,29.3793,1.8885,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.2045,29/11/2016 15:11:03,Dico pata lentamente,max_TT,77.9391,-7.7305,5.1003,67.281,-34.3418,35.223,9,28.3807,11.6471,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.0835,29/11/2016 15:11:25,Dico paca lentamente,max_TD,65.8686,21.08,20.8683,81.7577,-4.0665,2.2316,9,26.0698,-1.0513,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.1745,29/11/2016 15:13:49,Dico pata lentamente,max_TT,77.9577,-7.3128,4.3659,69.2532,-3.3684,4.3468,9,28.4356,11.9488,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.2835,29/11/2016 15:14:11,Dico paca lentamente,max_TD,67.0699,34.4543,33.3519,81.3661,-5.2757,3.4809,9,26.2692,0.044,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.2945,29/11/2016 15:16:15,Dico pata lentamente,max_TT,77.8632,-4.734,2.4014,68.6802,9.2411,7.6962,9,28.3341,11.3909,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.1045,29/11/2016 15:16:36,Dico paca lentamente,max_TD,67.1171,22.9836,23.1647,81.9585,-4.8828,3.1528,9,26.436,0.9606,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.1225,29/11/2016 15:18:54,Dico pata lentamente,max_TT,78.7698,-7.0038,4.0302,67.9828,-12.6667,13.8359,9,28.5631,12.6493,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.0875,29/11/2016 15:19:14,Dico paca lentamente,max_TD,58.1306,65.9409,61.9011,82.7516,-6.2675,3.933,9,24.1962,-11.3472,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.1585,29/11/2016 15:21:40,Dico pata lentamente,max_TT,79.8589,-7.1316,4.2572,67.678,-18.8446,19.6819,9,28.7501,13.6769,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.2105,29/11/2016 15:22:01,Dico paca lentamente,max_TD,67.9426,35.7285,35.7151,83.7263,-4.6597,2.5196,9,26.4576,1.0795,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
it01,1.0715,29/11/2016 15:24:22,Dico pata lentamente,max_TT,78.5961,-6.8035,3.9654,67.3833,-33.7334,34.8797,9,28.5154,12.3868,pata,italian,1,pata,p,voiceless,a,central,low,t,voiceless,coronal
it01,1.1095,29/11/2016 15:24:42,Dico paca lentamente,max_TD,68.2631,29.1786,29.3236,82.6025,-5.352,3.2482,9,26.6098,1.9158,paca,italian,3,paka,p,voiceless,a,central,low,k,voiceless,velar
